Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,505,0
01:00 - 02:00,490,0
02:00 - 03:00,569,0
03:00 - 04:00,551,0
04:00 - 05:00,592,0
05:00 - 06:00,564,0
06:00 - 07:00,568,0
07:00 - 08:00,689,0
08:00 - 09:00,650,0
09:00 - 10:00,580,0
10:00 - 11:00,437,0
11:00 - 12:00,383,0
12:00 - 13:00,413,0
13:00 - 14:00,598,0
14:00 - 15:00,637,0
15:00 - 16:00,773,0
16:00 - 17:00,947,0
17:00 - 18:00,915,0
18:00 - 19:00,886,0
19:00 - 20:00,831,0
20:00 - 21:00,677,0
21:00 - 22:00,626,0
22:00 - 23:00,665,0
23:00 - 00:00,672,0
