Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,234,0
01:00 - 02:00,280,0
02:00 - 03:00,288,0
03:00 - 04:00,350,0
04:00 - 05:00,359,0
05:00 - 06:00,350,0
06:00 - 07:00,342,0
07:00 - 08:00,335,0
08:00 - 09:00,202,0
09:00 - 10:00,49,0
10:00 - 11:00,0,53
11:00 - 12:00,0,80
12:00 - 13:00,0,170
13:00 - 14:00,0,26
14:00 - 15:00,80,0
15:00 - 16:00,175,0
16:00 - 17:00,305,0
17:00 - 18:00,375,0
18:00 - 19:00,492,0
19:00 - 20:00,456,0
20:00 - 21:00,398,0
21:00 - 22:00,412,0
22:00 - 23:00,441,0
23:00 - 00:00,434,0
