Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,68,0
01:00 - 02:00,0,45
02:00 - 03:00,0,57
03:00 - 04:00,0,195
04:00 - 05:00,0,211
05:00 - 06:00,0,178
06:00 - 07:00,0,154
07:00 - 08:00,0,96
08:00 - 09:00,164,0
09:00 - 10:00,362,0
10:00 - 11:00,423,0
11:00 - 12:00,448,0
12:00 - 13:00,499,0
13:00 - 14:00,209,0
14:00 - 15:00,67,0
15:00 - 16:00,0,105
16:00 - 17:00,0,216
17:00 - 18:00,0,233
18:00 - 19:00,0,317
19:00 - 20:00,0,76
20:00 - 21:00,110,0
21:00 - 22:00,112,0
22:00 - 23:00,72,0
23:00 - 00:00,69,0
