Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,423
01:00 - 02:00,0,475
02:00 - 03:00,0,583
03:00 - 04:00,0,563
04:00 - 05:00,0,564
05:00 - 06:00,0,471
06:00 - 07:00,0,469
07:00 - 08:00,0,332
08:00 - 09:00,0,196
09:00 - 10:00,0,165
10:00 - 11:00,0,281
11:00 - 12:00,0,303
12:00 - 13:00,0,270
13:00 - 14:00,0,301
14:00 - 15:00,0,242
15:00 - 16:00,0,141
16:00 - 17:00,0,93
17:00 - 18:00,0,89
18:00 - 19:00,88,0
19:00 - 20:00,107,0
20:00 - 21:00,39,0
21:00 - 22:00,0,56
22:00 - 23:00,80,0
23:00 - 00:00,35,0
