Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,28,0
01:00 - 02:00,25,0
02:00 - 03:00,45,0
03:00 - 04:00,35,0
04:00 - 05:00,21,0
05:00 - 06:00,39,0
06:00 - 07:00,68,0
07:00 - 08:00,4,0
08:00 - 09:00,0,3
09:00 - 10:00,49,0
10:00 - 11:00,164,0
11:00 - 12:00,129,0
12:00 - 13:00,136,0
13:00 - 14:00,155,0
14:00 - 15:00,104,0
15:00 - 16:00,91,0
16:00 - 17:00,40,0
17:00 - 18:00,107,0
18:00 - 19:00,152,0
19:00 - 20:00,100,0
20:00 - 21:00,80,0
21:00 - 22:00,85,0
22:00 - 23:00,74,0
23:00 - 00:00,0,160
