Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0.0,265.0
01:00 - 02:00,0.0,261.0
02:00 - 03:00,,
03:00 - 04:00,0.0,290.0
04:00 - 05:00,0.0,262.0
05:00 - 06:00,0.0,274.0
06:00 - 07:00,0.0,283.0
07:00 - 08:00,0.0,243.0
08:00 - 09:00,0.0,156.0
09:00 - 10:00,0.0,0.0
10:00 - 11:00,0.0,0.0
11:00 - 12:00,0.0,0.0
12:00 - 13:00,0.0,0.0
13:00 - 14:00,0.0,0.0
14:00 - 15:00,0.0,0.0
15:00 - 16:00,0.0,0.0
16:00 - 17:00,0.0,57.0
17:00 - 18:00,0.0,393.0
18:00 - 19:00,0.0,462.0
19:00 - 20:00,0.0,344.0
20:00 - 21:00,0.0,430.0
21:00 - 22:00,0.0,393.0
22:00 - 23:00,0.0,367.0
23:00 - 00:00,0.0,319.0
