Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,631,0
01:00 - 02:00,694,0
02:00 - 03:00,764,0
03:00 - 04:00,827,0
04:00 - 05:00,812,0
05:00 - 06:00,852,0
06:00 - 07:00,853,0
07:00 - 08:00,883,0
08:00 - 09:00,845,0
09:00 - 10:00,584,0
10:00 - 11:00,668,0
11:00 - 12:00,649,0
12:00 - 13:00,754,0
13:00 - 14:00,828,0
14:00 - 15:00,890,0
15:00 - 16:00,1009,0
16:00 - 17:00,975,0
17:00 - 18:00,892,0
18:00 - 19:00,766,0
19:00 - 20:00,698,0
20:00 - 21:00,575,0
21:00 - 22:00,588,0
22:00 - 23:00,422,0
23:00 - 00:00,429,0
