Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,266,0
01:00 - 02:00,307,0
02:00 - 03:00,298,0
03:00 - 04:00,286,0
04:00 - 05:00,345,0
05:00 - 06:00,368,0
06:00 - 07:00,401,0
07:00 - 08:00,370,0
08:00 - 09:00,374,0
09:00 - 10:00,531,0
10:00 - 11:00,607,0
11:00 - 12:00,788,0
12:00 - 13:00,766,0
13:00 - 14:00,705,0
14:00 - 15:00,749,0
15:00 - 16:00,712,0
16:00 - 17:00,642,0
17:00 - 18:00,587,0
18:00 - 19:00,545,0
19:00 - 20:00,430,0
20:00 - 21:00,398,0
21:00 - 22:00,355,0
22:00 - 23:00,316,0
23:00 - 00:00,337,0
