Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,132
01:00 - 02:00,0,133
02:00 - 03:00,0,205
03:00 - 04:00,0,244
04:00 - 05:00,0,252
05:00 - 06:00,0,194
06:00 - 07:00,0,146
07:00 - 08:00,0,60
08:00 - 09:00,0,137
09:00 - 10:00,0,257
10:00 - 11:00,0,261
11:00 - 12:00,0,300
12:00 - 13:00,0,272
13:00 - 14:00,0,345
14:00 - 15:00,0,316
15:00 - 16:00,0,302
16:00 - 17:00,0,175
17:00 - 18:00,0,135
18:00 - 19:00,0,216
19:00 - 20:00,0,195
20:00 - 21:00,0,128
21:00 - 22:00,0,147
22:00 - 23:00,0,39
23:00 - 00:00,42,0
