Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,323,0
01:00 - 02:00,381,0
02:00 - 03:00,410,0
03:00 - 04:00,491,0
04:00 - 05:00,426,0
05:00 - 06:00,470,0
06:00 - 07:00,321,0
07:00 - 08:00,273,0
08:00 - 09:00,287,0
09:00 - 10:00,444,0
10:00 - 11:00,453,0
11:00 - 12:00,477,0
12:00 - 13:00,560,0
13:00 - 14:00,577,0
14:00 - 15:00,531,0
15:00 - 16:00,522,0
16:00 - 17:00,457,0
17:00 - 18:00,371,0
18:00 - 19:00,271,0
19:00 - 20:00,190,0
20:00 - 21:00,32,0
21:00 - 22:00,8,0
22:00 - 23:00,11,0
23:00 - 00:00,31,0
