Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,280
01:00 - 02:00,0,183
02:00 - 03:00,0,80
03:00 - 04:00,0,104
04:00 - 05:00,0,69
05:00 - 06:00,0,100
06:00 - 07:00,0,110
07:00 - 08:00,0,76
08:00 - 09:00,0,74
09:00 - 10:00,0,187
10:00 - 11:00,0,289
11:00 - 12:00,0,361
12:00 - 13:00,0,371
13:00 - 14:00,0,434
14:00 - 15:00,0,394
15:00 - 16:00,0,392
16:00 - 17:00,0,367
17:00 - 18:00,0,371
18:00 - 19:00,0,336
19:00 - 20:00,0,395
20:00 - 21:00,0,428
21:00 - 22:00,0,345
22:00 - 23:00,0,382
23:00 - 00:00,0,264
