Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,0,33
00:15 - 00:30,0,41
00:30 - 00:45,0,34
00:45 - 01:00,0,35
01:00 - 01:15,0,52
01:15 - 01:30,0,56
01:30 - 01:45,0,53
01:45 - 02:00,0,51
02:00 - 02:15,0,56
02:15 - 02:30,0,53
02:30 - 02:45,0,48
02:45 - 03:00,0,59
03:00 - 03:15,0,59
03:15 - 03:30,0,63
03:30 - 03:45,0,63
03:45 - 04:00,0,53
04:00 - 04:15,0,58
04:15 - 04:30,0,49
04:30 - 04:45,0,48
04:45 - 05:00,0,51
05:00 - 05:15,0,53
05:15 - 05:30,0,54
05:30 - 05:45,0,51
05:45 - 06:00,0,53
06:00 - 06:15,0,58
06:15 - 06:30,0,48
06:30 - 06:45,0,53
06:45 - 07:00,0,57
07:00 - 07:15,0,47
07:15 - 07:30,0,47
07:30 - 07:45,0,44
07:45 - 08:00,0,38
08:00 - 08:15,0,64
08:15 - 08:30,0,64
08:30 - 08:45,0,59
08:45 - 09:00,0,54
09:00 - 09:15,0,71
09:15 - 09:30,0,70
09:30 - 09:45,0,67
09:45 - 10:00,0,58
10:00 - 10:15,0,71
10:15 - 10:30,0,65
10:30 - 10:45,0,67
10:45 - 11:00,0,72
11:00 - 11:15,0,88
11:15 - 11:30,0,98
11:30 - 11:45,0,94
11:45 - 12:00,0,92
12:00 - 12:15,0,119
12:15 - 12:30,0,117
12:30 - 12:45,0,117
12:45 - 13:00,0,114
13:00 - 13:15,0,119
13:15 - 13:30,0,119
13:30 - 13:45,0,124
13:45 - 14:00,0,121
14:00 - 14:15,0,124
14:15 - 14:30,0,119
14:30 - 14:45,0,116
14:45 - 15:00,0,123
15:00 - 15:15,0,125
15:15 - 15:30,0,124
15:30 - 15:45,0,119
15:45 - 16:00,0,124
16:00 - 16:15,0,128
16:15 - 16:30,0,132
16:30 - 16:45,0,126
16:45 - 17:00,0,131
17:00 - 17:15,0,110
17:15 - 17:30,0,118
17:30 - 17:45,0,115
17:45 - 18:00,0,117
18:00 - 18:15,0,84
18:15 - 18:30,0,87
18:30 - 18:45,0,90
18:45 - 19:00,0,98
19:00 - 19:15,0,78
19:15 - 19:30,0,73
19:30 - 19:45,0,78
19:45 - 20:00,0,81
20:00 - 20:15,0,61
20:15 - 20:30,0,54
20:30 - 20:45,0,52
20:45 - 21:00,0,50
21:00 - 21:15,0,46
21:15 - 21:30,0,50
21:30 - 21:45,0,45
21:45 - 22:00,0,49
22:00 - 22:15,0,59
22:15 - 22:30,0,60
22:30 - 22:45,0,55
22:45 - 23:00,0,52
23:00 - 23:15,0,80
23:15 - 23:30,0,72
23:30 - 23:45,0,70
23:45 - 00:00,0,68
