Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,131,0
00:15 - 00:30,124,0
00:30 - 00:45,122,0
00:45 - 01:00,105,0
01:00 - 01:15,85,0
01:15 - 01:30,91,0
01:30 - 01:45,107,0
01:45 - 02:00,58,0
02:00 - 02:15,102,0
02:15 - 02:30,82,0
02:30 - 02:45,102,0
02:45 - 03:00,114,0
03:00 - 03:15,99,0
03:15 - 03:30,87,0
03:30 - 03:45,72,0
03:45 - 04:00,59,0
04:00 - 04:15,91,0
04:15 - 04:30,116,0
04:30 - 04:45,126,0
04:45 - 05:00,95,0
05:00 - 05:15,139,0
05:15 - 05:30,116,0
05:30 - 05:45,137,0
05:45 - 06:00,74,0
06:00 - 06:15,164,0
06:15 - 06:30,190,0
06:30 - 06:45,211,0
06:45 - 07:00,196,0
07:00 - 07:15,190,0
07:15 - 07:30,139,0
07:30 - 07:45,131,0
07:45 - 08:00,95,0
08:00 - 08:15,165,0
08:15 - 08:30,128,0
08:30 - 08:45,87,0
08:45 - 09:00,101,0
09:00 - 09:15,180,0
09:15 - 09:30,117,0
09:30 - 09:45,152,0
09:45 - 10:00,106,0
10:00 - 10:15,123,0
10:15 - 10:30,132,0
10:30 - 10:45,167,0
10:45 - 11:00,112,0
11:00 - 11:15,166,0
11:15 - 11:30,167,0
11:30 - 11:45,192,0
11:45 - 12:00,147,0
12:00 - 12:15,138,0
12:15 - 12:30,134,0
12:30 - 12:45,131,0
12:45 - 13:00,204,0
13:00 - 13:15,197,0
13:15 - 13:30,199,0
13:30 - 13:45,233,0
13:45 - 14:00,217,0
14:00 - 14:15,289,0
14:15 - 14:30,270,0
14:30 - 14:45,263,0
14:45 - 15:00,261,0
15:00 - 15:15,286,0
15:15 - 15:30,295,0
15:30 - 15:45,330,0
15:45 - 16:00,309,0
16:00 - 16:15,217,0
16:15 - 16:30,207,0
16:30 - 16:45,258,0
16:45 - 17:00,171,0
17:00 - 17:15,284,0
17:15 - 17:30,321,0
17:30 - 17:45,268,0
17:45 - 18:00,233,0
18:00 - 18:15,167,0
18:15 - 18:30,222,0
18:30 - 18:45,259,0
18:45 - 19:00,214,0
19:00 - 19:15,200,0
19:15 - 19:30,193,0
19:30 - 19:45,176,0
19:45 - 20:00,143,0
20:00 - 20:15,86,0
20:15 - 20:30,87,0
20:30 - 20:45,84,0
20:45 - 21:00,121,0
21:00 - 21:15,88,0
21:15 - 21:30,57,0
21:30 - 21:45,48,0
21:45 - 22:00,99,0
22:00 - 22:15,124,0
22:15 - 22:30,126,0
22:30 - 22:45,122,0
22:45 - 23:00,105,0
23:00 - 23:15,55,0
23:15 - 23:30,57,0
23:30 - 23:45,81,0
23:45 - 00:00,75,0
