Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,576,0
01:00 - 02:00,522,0
02:00 - 03:00,520,0
03:00 - 04:00,519,0
04:00 - 05:00,513,0
05:00 - 06:00,551,0
06:00 - 07:00,605,0
07:00 - 08:00,569,0
08:00 - 09:00,451,0
09:00 - 10:00,409,0
10:00 - 11:00,378,0
11:00 - 12:00,410,0
12:00 - 13:00,379,0
13:00 - 14:00,411,0
14:00 - 15:00,520,0
15:00 - 16:00,671,0
16:00 - 17:00,544,0
17:00 - 18:00,657,0
18:00 - 19:00,669,0
19:00 - 20:00,684,0
20:00 - 21:00,649,0
21:00 - 22:00,611,0
22:00 - 23:00,647,0
23:00 - 00:00,556,0
