Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,331,0
01:00 - 02:00,276,0
02:00 - 03:00,199,0
03:00 - 04:00,240,0
04:00 - 05:00,265,0
05:00 - 06:00,286,0
06:00 - 07:00,404,0
07:00 - 08:00,487,0
08:00 - 09:00,460,0
09:00 - 10:00,347,0
10:00 - 11:00,607,0
11:00 - 12:00,829,0
12:00 - 13:00,820,0
13:00 - 14:00,964,0
14:00 - 15:00,1175,0
15:00 - 16:00,1244,0
16:00 - 17:00,1066,0
17:00 - 18:00,1058,0
18:00 - 19:00,976,0
19:00 - 20:00,690,0
20:00 - 21:00,519,0
21:00 - 22:00,431,0
22:00 - 23:00,323,0
23:00 - 00:00,66,0
