Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,187
01:00 - 02:00,0,305
02:00 - 03:00,0,218
03:00 - 04:00,0,223
04:00 - 05:00,0,208
05:00 - 06:00,0,82
06:00 - 07:00,0,85
07:00 - 08:00,0,47
08:00 - 09:00,0,10
09:00 - 10:00,0,0
10:00 - 11:00,0,0
11:00 - 12:00,0,0
12:00 - 13:00,0,0
13:00 - 14:00,0,438
14:00 - 15:00,0,1050
15:00 - 16:00,0,968
16:00 - 17:00,0,928
17:00 - 18:00,0,919
18:00 - 19:00,0,672
19:00 - 20:00,0,188
20:00 - 21:00,0,35
21:00 - 22:00,7,0
22:00 - 23:00,86,0
23:00 - 00:00,0,37
