Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,792,0
01:00 - 02:00,727,0
02:00 - 03:00,742,0
03:00 - 04:00,764,0
04:00 - 05:00,761,0
05:00 - 06:00,839,0
06:00 - 07:00,814,0
07:00 - 08:00,537,0
08:00 - 09:00,484,0
09:00 - 10:00,410,0
10:00 - 11:00,449,0
11:00 - 12:00,745,0
12:00 - 13:00,846,0
13:00 - 14:00,881,0
14:00 - 15:00,826,0
15:00 - 16:00,831,0
16:00 - 17:00,855,0
17:00 - 18:00,992,0
18:00 - 19:00,1027,0
19:00 - 20:00,835,0
20:00 - 21:00,448,0
21:00 - 22:00,387,0
22:00 - 23:00,383,0
23:00 - 00:00,383,0
