Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,187
01:00 - 02:00,0,186
02:00 - 03:00,0,207
03:00 - 04:00,0,238
04:00 - 05:00,0,248
05:00 - 06:00,0,252
06:00 - 07:00,0,174
07:00 - 08:00,7,0
08:00 - 09:00,0,13
09:00 - 10:00,57,0
10:00 - 11:00,0,50
11:00 - 12:00,0,241
12:00 - 13:00,0,305
13:00 - 14:00,0,305
14:00 - 15:00,0,286
15:00 - 16:00,0,369
16:00 - 17:00,0,280
17:00 - 18:00,0,184
18:00 - 19:00,0,206
19:00 - 20:00,0,65
20:00 - 21:00,0,145
21:00 - 22:00,0,138
22:00 - 23:00,0,157
23:00 - 00:00,0,119
