Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,279,0
01:00 - 02:00,276,0
02:00 - 03:00,298,0
03:00 - 04:00,258,0
04:00 - 05:00,234,0
05:00 - 06:00,252,0
06:00 - 07:00,248,0
07:00 - 08:00,327,0
08:00 - 09:00,269,0
09:00 - 10:00,269,0
10:00 - 11:00,244,0
11:00 - 12:00,356,0
12:00 - 13:00,422,0
13:00 - 14:00,540,0
14:00 - 15:00,605,0
15:00 - 16:00,540,0
16:00 - 17:00,564,0
17:00 - 18:00,564,0
18:00 - 19:00,554,0
19:00 - 20:00,361,0
20:00 - 21:00,249,0
21:00 - 22:00,120,0
22:00 - 23:00,123,0
23:00 - 00:00,40,0
