Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,450,0
01:00 - 02:00,508,0
02:00 - 03:00,514,0
03:00 - 04:00,513,0
04:00 - 05:00,537,0
05:00 - 06:00,500,0
06:00 - 07:00,472,0
07:00 - 08:00,163,0
08:00 - 09:00,92,0
09:00 - 10:00,71,0
10:00 - 11:00,77,0
11:00 - 12:00,188,0
12:00 - 13:00,272,0
13:00 - 14:00,344,0
14:00 - 15:00,298,0
15:00 - 16:00,412,0
16:00 - 17:00,472,0
17:00 - 18:00,601,0
18:00 - 19:00,524,0
19:00 - 20:00,463,0
20:00 - 21:00,493,0
21:00 - 22:00,528,0
22:00 - 23:00,567,0
23:00 - 00:00,421,0
