Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,139
01:00 - 02:00,0,214
02:00 - 03:00,0,220
03:00 - 04:00,0,243
04:00 - 05:00,0,225
05:00 - 06:00,0,194
06:00 - 07:00,0,150
07:00 - 08:00,58,0
08:00 - 09:00,56,0
09:00 - 10:00,41,0
10:00 - 11:00,0,6
11:00 - 12:00,0,166
12:00 - 13:00,0,252
13:00 - 14:00,0,339
14:00 - 15:00,0,317
15:00 - 16:00,0,359
16:00 - 17:00,0,356
17:00 - 18:00,0,335
18:00 - 19:00,0,199
19:00 - 20:00,0,57
20:00 - 21:00,0,153
21:00 - 22:00,0,135
22:00 - 23:00,0,168
23:00 - 00:00,0,77
