Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,277,0
01:00 - 02:00,324,0
02:00 - 03:00,354,0
03:00 - 04:00,371,0
04:00 - 05:00,351,0
05:00 - 06:00,328,0
06:00 - 07:00,445,0
07:00 - 08:00,201,0
08:00 - 09:00,267,0
09:00 - 10:00,302,0
10:00 - 11:00,387,0
11:00 - 12:00,439,0
12:00 - 13:00,407,0
13:00 - 14:00,435,0
14:00 - 15:00,462,0
15:00 - 16:00,482,0
16:00 - 17:00,501,0
17:00 - 18:00,600,0
18:00 - 19:00,595,0
19:00 - 20:00,487,0
20:00 - 21:00,225,0
21:00 - 22:00,271,0
22:00 - 23:00,250,0
23:00 - 00:00,230,0
