Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,131
01:00 - 02:00,0,94
02:00 - 03:00,0,63
03:00 - 04:00,0,78
04:00 - 05:00,0,67
05:00 - 06:00,0,67
06:00 - 07:00,0,93
07:00 - 08:00,0,219
08:00 - 09:00,0,338
09:00 - 10:00,0,309
10:00 - 11:00,0,149
11:00 - 12:00,0,59
12:00 - 13:00,0,130
13:00 - 14:00,0,103
14:00 - 15:00,0,65
15:00 - 16:00,0,50
16:00 - 17:00,0,33
17:00 - 18:00,0,58
18:00 - 19:00,0,46
19:00 - 20:00,0,5
20:00 - 21:00,0,62
21:00 - 22:00,4,0
22:00 - 23:00,0,48
23:00 - 00:00,0,248
