Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,201
01:00 - 02:00,0,253
02:00 - 03:00,0,242
03:00 - 04:00,0,185
04:00 - 05:00,0,192
05:00 - 06:00,0,210
06:00 - 07:00,0,170
07:00 - 08:00,24,0
08:00 - 09:00,123,0
09:00 - 10:00,293,0
10:00 - 11:00,305,0
11:00 - 12:00,205,0
12:00 - 13:00,224,0
13:00 - 14:00,197,0
14:00 - 15:00,189,0
15:00 - 16:00,153,0
16:00 - 17:00,82,0
17:00 - 18:00,114,0
18:00 - 19:00,124,0
19:00 - 20:00,164,0
20:00 - 21:00,106,0
21:00 - 22:00,14,0
22:00 - 23:00,0,7
23:00 - 00:00,0,59
