Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,159,0
01:00 - 02:00,193,0
02:00 - 03:00,305,0
03:00 - 04:00,348,0
04:00 - 05:00,406,0
05:00 - 06:00,348,0
06:00 - 07:00,388,0
07:00 - 08:00,311,0
08:00 - 09:00,295,0
09:00 - 10:00,348,0
10:00 - 11:00,449,0
11:00 - 12:00,471,0
12:00 - 13:00,554,0
13:00 - 14:00,506,0
14:00 - 15:00,490,0
15:00 - 16:00,565,0
16:00 - 17:00,547,0
17:00 - 18:00,527,0
18:00 - 19:00,381,0
19:00 - 20:00,160,0
20:00 - 21:00,103,0
21:00 - 22:00,77,0
22:00 - 23:00,66,0
23:00 - 00:00,139,0
