Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,382
01:00 - 02:00,0,348
02:00 - 03:00,0,285
03:00 - 04:00,0,300
04:00 - 05:00,0,391
05:00 - 06:00,0,348
06:00 - 07:00,0,426
07:00 - 08:00,0,380
08:00 - 09:00,0,350
09:00 - 10:00,0,377
10:00 - 11:00,0,387
11:00 - 12:00,0,502
12:00 - 13:00,0,490
13:00 - 14:00,0,370
14:00 - 15:00,0,370
15:00 - 16:00,0,369
16:00 - 17:00,0,466
17:00 - 18:00,0,520
18:00 - 19:00,0,312
19:00 - 20:00,0,325
20:00 - 21:00,0,214
21:00 - 22:00,0,172
22:00 - 23:00,0,187
23:00 - 00:00,0,95
