Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,7
01:00 - 02:00,0,35
02:00 - 03:00,95,0
03:00 - 04:00,80,0
04:00 - 05:00,88,0
05:00 - 06:00,91,0
06:00 - 07:00,68,0
07:00 - 08:00,0,1
08:00 - 09:00,0,6
09:00 - 10:00,0,58
10:00 - 11:00,0,42
11:00 - 12:00,62,0
12:00 - 13:00,204,0
13:00 - 14:00,312,0
14:00 - 15:00,366,0
15:00 - 16:00,377,0
16:00 - 17:00,406,0
17:00 - 18:00,389,0
18:00 - 19:00,293,0
19:00 - 20:00,0,75
20:00 - 21:00,0,148
21:00 - 22:00,0,200
22:00 - 23:00,0,199
23:00 - 00:00,0,148
