Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,279
01:00 - 02:00,0,312
02:00 - 03:00,0,354
03:00 - 04:00,0,380
04:00 - 05:00,0,449
05:00 - 06:00,0,508
06:00 - 07:00,0,521
07:00 - 08:00,0,461
08:00 - 09:00,0,396
09:00 - 10:00,0,220
10:00 - 11:00,0,67
11:00 - 12:00,0,60
12:00 - 13:00,0,66
13:00 - 14:00,0,151
14:00 - 15:00,0,247
15:00 - 16:00,0,292
16:00 - 17:00,0,243
17:00 - 18:00,0,278
18:00 - 19:00,0,312
19:00 - 20:00,98,0
20:00 - 21:00,35,0
21:00 - 22:00,29,0
22:00 - 23:00,11,0
23:00 - 00:00,18,0
