Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,338,0
01:00 - 02:00,377,0
02:00 - 03:00,398,0
03:00 - 04:00,384,0
04:00 - 05:00,384,0
05:00 - 06:00,385,0
06:00 - 07:00,394,0
07:00 - 08:00,343,0
08:00 - 09:00,249,0
09:00 - 10:00,41,0
10:00 - 11:00,0,171
11:00 - 12:00,0,223
12:00 - 13:00,0,261
13:00 - 14:00,0,210
14:00 - 15:00,0,166
15:00 - 16:00,0,105
16:00 - 17:00,0,25
17:00 - 18:00,147,0
18:00 - 19:00,257,0
19:00 - 20:00,0,27
20:00 - 21:00,68,0
21:00 - 22:00,68,0
22:00 - 23:00,6,0
23:00 - 00:00,0,34
