Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,399,0
01:00 - 02:00,340,0
02:00 - 03:00,348,0
03:00 - 04:00,326,0
04:00 - 05:00,323,0
05:00 - 06:00,410,0
06:00 - 07:00,448,0
07:00 - 08:00,520,0
08:00 - 09:00,283,0
09:00 - 10:00,70,0
10:00 - 11:00,0,139
11:00 - 12:00,0,377
12:00 - 13:00,0,510
13:00 - 14:00,0,462
14:00 - 15:00,0,237
15:00 - 16:00,0,138
16:00 - 17:00,0,92
17:00 - 18:00,0,17
18:00 - 19:00,131,0
19:00 - 20:00,65,0
20:00 - 21:00,232,0
21:00 - 22:00,210,0
22:00 - 23:00,137,0
23:00 - 00:00,231,0
