Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,42
01:00 - 02:00,2,0
02:00 - 03:00,0,33
03:00 - 04:00,0,2
04:00 - 05:00,95,0
05:00 - 06:00,199,0
06:00 - 07:00,197,0
07:00 - 08:00,228,0
08:00 - 09:00,77,0
09:00 - 10:00,0,99
10:00 - 11:00,0,177
11:00 - 12:00,0,218
12:00 - 13:00,0,239
13:00 - 14:00,0,200
14:00 - 15:00,0,27
15:00 - 16:00,79,0
16:00 - 17:00,172,0
17:00 - 18:00,136,0
18:00 - 19:00,91,0
19:00 - 20:00,82,0
20:00 - 21:00,0,37
21:00 - 22:00,0,70
22:00 - 23:00,0,192
23:00 - 00:00,0,298
