Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,269
01:00 - 02:00,0,268
02:00 - 03:00,0,297
03:00 - 04:00,0,308
04:00 - 05:00,0,323
05:00 - 06:00,0,406
06:00 - 07:00,0,408
07:00 - 08:00,0,325
08:00 - 09:00,0,153
09:00 - 10:00,0,53
10:00 - 11:00,129,0
11:00 - 12:00,314,0
12:00 - 13:00,452,0
13:00 - 14:00,391,0
14:00 - 15:00,129,0
15:00 - 16:00,0,3
16:00 - 17:00,44,0
17:00 - 18:00,57,0
18:00 - 19:00,46,0
19:00 - 20:00,280,0
20:00 - 21:00,184,0
21:00 - 22:00,197,0
22:00 - 23:00,162,0
23:00 - 00:00,0,73
