Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,279,0
01:00 - 02:00,325,0
02:00 - 03:00,319,0
03:00 - 04:00,286,0
04:00 - 05:00,296,0
05:00 - 06:00,354,0
06:00 - 07:00,377,0
07:00 - 08:00,418,0
08:00 - 09:00,474,0
09:00 - 10:00,411,0
10:00 - 11:00,387,0
11:00 - 12:00,450,0
12:00 - 13:00,460,0
13:00 - 14:00,470,0
14:00 - 15:00,554,0
15:00 - 16:00,501,0
16:00 - 17:00,493,0
17:00 - 18:00,577,0
18:00 - 19:00,701,0
19:00 - 20:00,654,0
20:00 - 21:00,613,0
21:00 - 22:00,484,0
22:00 - 23:00,467,0
23:00 - 00:00,452,0
