Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,115,0
01:00 - 02:00,150,0
02:00 - 03:00,112,0
03:00 - 04:00,73,0
04:00 - 05:00,84,0
05:00 - 06:00,112,0
06:00 - 07:00,86,0
07:00 - 08:00,5,0
08:00 - 09:00,0,38
09:00 - 10:00,20,0
10:00 - 11:00,161,0
11:00 - 12:00,222,0
12:00 - 13:00,164,0
13:00 - 14:00,325,0
14:00 - 15:00,395,0
15:00 - 16:00,403,0
16:00 - 17:00,427,0
17:00 - 18:00,486,0
18:00 - 19:00,422,0
19:00 - 20:00,280,0
20:00 - 21:00,85,0
21:00 - 22:00,25,0
22:00 - 23:00,111,0
23:00 - 00:00,69,0
