Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,620,0
01:00 - 02:00,555,0
02:00 - 03:00,522,0
03:00 - 04:00,449,0
04:00 - 05:00,429,0
05:00 - 06:00,438,0
06:00 - 07:00,429,0
07:00 - 08:00,362,0
08:00 - 09:00,240,0
09:00 - 10:00,153,0
10:00 - 11:00,263,0
11:00 - 12:00,320,0
12:00 - 13:00,284,0
13:00 - 14:00,436,0
14:00 - 15:00,500,0
15:00 - 16:00,559,0
16:00 - 17:00,611,0
17:00 - 18:00,671,0
18:00 - 19:00,730,0
19:00 - 20:00,756,0
20:00 - 21:00,684,0
21:00 - 22:00,629,0
22:00 - 23:00,551,0
23:00 - 00:00,546,0
