Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,180,0
01:00 - 02:00,114,0
02:00 - 03:00,119,0
03:00 - 04:00,155,0
04:00 - 05:00,125,0
05:00 - 06:00,103,0
06:00 - 07:00,226,0
07:00 - 08:00,384,0
08:00 - 09:00,406,0
09:00 - 10:00,288,0
10:00 - 11:00,163,0
11:00 - 12:00,169,0
12:00 - 13:00,194,0
13:00 - 14:00,442,0
14:00 - 15:00,426,0
15:00 - 16:00,477,0
16:00 - 17:00,582,0
17:00 - 18:00,774,0
18:00 - 19:00,855,0
19:00 - 20:00,709,0
20:00 - 21:00,538,0
21:00 - 22:00,254,0
22:00 - 23:00,351,0
23:00 - 00:00,143,0
