Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,202,0
01:00 - 02:00,233,0
02:00 - 03:00,193,0
03:00 - 04:00,174,0
04:00 - 05:00,149,0
05:00 - 06:00,172,0
06:00 - 07:00,214,0
07:00 - 08:00,220,0
08:00 - 09:00,71,0
09:00 - 10:00,0,156
10:00 - 11:00,0,318
11:00 - 12:00,0,348
12:00 - 13:00,0,387
13:00 - 14:00,0,271
14:00 - 15:00,0,215
15:00 - 16:00,0,159
16:00 - 17:00,0,43
17:00 - 18:00,91,0
18:00 - 19:00,188,0
19:00 - 20:00,286,0
20:00 - 21:00,316,0
21:00 - 22:00,282,0
22:00 - 23:00,281,0
23:00 - 00:00,207,0
