Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,80
01:00 - 02:00,0,194
02:00 - 03:00,0,123
03:00 - 04:00,0,71
04:00 - 05:00,0,28
05:00 - 06:00,0,86
06:00 - 07:00,0,134
07:00 - 08:00,163,0
08:00 - 09:00,421,0
09:00 - 10:00,464,0
10:00 - 11:00,477,0
11:00 - 12:00,472,0
12:00 - 13:00,421,0
13:00 - 14:00,351,0
14:00 - 15:00,274,0
15:00 - 16:00,267,0
16:00 - 17:00,245,0
17:00 - 18:00,379,0
18:00 - 19:00,358,0
19:00 - 20:00,167,0
20:00 - 21:00,41,0
21:00 - 22:00,0,74
22:00 - 23:00,59,0
23:00 - 00:00,0,74
