Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,18
01:00 - 02:00,48,0
02:00 - 03:00,37,0
03:00 - 04:00,89,0
04:00 - 05:00,126,0
05:00 - 06:00,123,0
06:00 - 07:00,76,0
07:00 - 08:00,25,0
08:00 - 09:00,12,0
09:00 - 10:00,0,72
10:00 - 11:00,1,0
11:00 - 12:00,148,0
12:00 - 13:00,170,0
13:00 - 14:00,214,0
14:00 - 15:00,232,0
15:00 - 16:00,306,0
16:00 - 17:00,371,0
17:00 - 18:00,348,0
18:00 - 19:00,291,0
19:00 - 20:00,201,0
20:00 - 21:00,98,0
21:00 - 22:00,48,0
22:00 - 23:00,98,0
23:00 - 00:00,20,0
