Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,148
01:00 - 02:00,0,149
02:00 - 03:00,0,153
03:00 - 04:00,0,147
04:00 - 05:00,0,145
05:00 - 06:00,0,136
06:00 - 07:00,0,109
07:00 - 08:00,0,21
08:00 - 09:00,0,24
09:00 - 10:00,0,33
10:00 - 11:00,0,85
11:00 - 12:00,0,113
12:00 - 13:00,0,146
13:00 - 14:00,0,134
14:00 - 15:00,0,238
15:00 - 16:00,0,265
16:00 - 17:00,0,292
17:00 - 18:00,0,247
18:00 - 19:00,0,235
19:00 - 20:00,0,191
20:00 - 21:00,0,143
21:00 - 22:00,0,144
22:00 - 23:00,0,136
23:00 - 00:00,0,108
