Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,201
01:00 - 02:00,0,131
02:00 - 03:00,0,104
03:00 - 04:00,0,77
04:00 - 05:00,0,54
05:00 - 06:00,0,36
06:00 - 07:00,29,0
07:00 - 08:00,130,0
08:00 - 09:00,203,0
09:00 - 10:00,178,0
10:00 - 11:00,152,0
11:00 - 12:00,177,0
12:00 - 13:00,193,0
13:00 - 14:00,223,0
14:00 - 15:00,187,0
15:00 - 16:00,144,0
16:00 - 17:00,151,0
17:00 - 18:00,0,1
18:00 - 19:00,103,0
19:00 - 20:00,283,0
20:00 - 21:00,301,0
21:00 - 22:00,313,0
22:00 - 23:00,339,0
23:00 - 00:00,291,0
