Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,85
01:00 - 02:00,0,143
02:00 - 03:00,0,145
03:00 - 04:00,0,190
04:00 - 05:00,0,188
05:00 - 06:00,0,234
06:00 - 07:00,0,364
07:00 - 08:00,0,265
08:00 - 09:00,0,366
09:00 - 10:00,0,305
10:00 - 11:00,0,181
11:00 - 12:00,0,139
12:00 - 13:00,0,40
13:00 - 14:00,0,16
14:00 - 15:00,16,0
15:00 - 16:00,8,0
16:00 - 17:00,69,0
17:00 - 18:00,152,0
18:00 - 19:00,143,0
19:00 - 20:00,72,0
20:00 - 21:00,0,75
21:00 - 22:00,0,151
22:00 - 23:00,0,164
23:00 - 00:00,0,453
