Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,520,0
01:00 - 02:00,484,0
02:00 - 03:00,352,0
03:00 - 04:00,390,0
04:00 - 05:00,474,0
05:00 - 06:00,669,0
06:00 - 07:00,744,0
07:00 - 08:00,903,0
08:00 - 09:00,886,0
09:00 - 10:00,837,0
10:00 - 11:00,735,0
11:00 - 12:00,799,0
12:00 - 13:00,822,0
13:00 - 14:00,795,0
14:00 - 15:00,768,0
15:00 - 16:00,748,0
16:00 - 17:00,839,0
17:00 - 18:00,897,0
18:00 - 19:00,849,0
19:00 - 20:00,773,0
20:00 - 21:00,764,0
21:00 - 22:00,647,0
22:00 - 23:00,671,0
23:00 - 00:00,621,0
