Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,321,0
01:00 - 02:00,326,0
02:00 - 03:00,366,0
03:00 - 04:00,396,0
04:00 - 05:00,369,0
05:00 - 06:00,360,0
06:00 - 07:00,396,0
07:00 - 08:00,311,0
08:00 - 09:00,252,0
09:00 - 10:00,291,0
10:00 - 11:00,392,0
11:00 - 12:00,438,0
12:00 - 13:00,462,0
13:00 - 14:00,487,0
14:00 - 15:00,986,0
15:00 - 16:00,1078,0
16:00 - 17:00,1157,0
17:00 - 18:00,1146,0
18:00 - 19:00,1073,0
19:00 - 20:00,933,0
20:00 - 21:00,718,0
21:00 - 22:00,506,0
22:00 - 23:00,379,0
23:00 - 00:00,402,0
