Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,242
01:00 - 02:00,0,281
02:00 - 03:00,0,328
03:00 - 04:00,0,327
04:00 - 05:00,0,325
05:00 - 06:00,0,304
06:00 - 07:00,0,304
07:00 - 08:00,0,271
08:00 - 09:00,0,209
09:00 - 10:00,0,270
10:00 - 11:00,0,371
11:00 - 12:00,0,460
12:00 - 13:00,0,546
13:00 - 14:00,0,547
14:00 - 15:00,0,416
15:00 - 16:00,0,415
16:00 - 17:00,0,400
17:00 - 18:00,0,396
18:00 - 19:00,0,197
19:00 - 20:00,0,148
20:00 - 21:00,0,21
21:00 - 22:00,0,65
22:00 - 23:00,0,176
23:00 - 00:00,0,118
