Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,110
01:00 - 02:00,0,116
02:00 - 03:00,0,173
03:00 - 04:00,0,195
04:00 - 05:00,0,197
05:00 - 06:00,0,252
06:00 - 07:00,0,247
07:00 - 08:00,0,64
08:00 - 09:00,0,17
09:00 - 10:00,19,0
10:00 - 11:00,0,32
11:00 - 12:00,0,73
12:00 - 13:00,0,133
13:00 - 14:00,0,198
14:00 - 15:00,0,240
15:00 - 16:00,0,261
16:00 - 17:00,0,282
17:00 - 18:00,0,177
18:00 - 19:00,0,37
19:00 - 20:00,95,0
20:00 - 21:00,73,0
21:00 - 22:00,76,0
22:00 - 23:00,224,0
23:00 - 00:00,192,0
