Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,20,0
01:00 - 02:00,29,0
02:00 - 03:00,89,0
03:00 - 04:00,144,0
04:00 - 05:00,156,0
05:00 - 06:00,202,0
06:00 - 07:00,210,0
07:00 - 08:00,188,0
08:00 - 09:00,194,0
09:00 - 10:00,308,0
10:00 - 11:00,307,0
11:00 - 12:00,193,0
12:00 - 13:00,166,0
13:00 - 14:00,169,0
14:00 - 15:00,251,0
15:00 - 16:00,258,0
16:00 - 17:00,379,0
17:00 - 18:00,482,0
18:00 - 19:00,532,0
19:00 - 20:00,347,0
20:00 - 21:00,205,0
21:00 - 22:00,97,0
22:00 - 23:00,127,0
23:00 - 00:00,0,260
