Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,123,0
01:00 - 02:00,79,0
02:00 - 03:00,141,0
03:00 - 04:00,148,0
04:00 - 05:00,146,0
05:00 - 06:00,229,0
06:00 - 07:00,200,0
07:00 - 08:00,124,0
08:00 - 09:00,128,0
09:00 - 10:00,87,0
10:00 - 11:00,27,0
11:00 - 12:00,0,56
12:00 - 13:00,0,69
13:00 - 14:00,0,37
14:00 - 15:00,68,0
15:00 - 16:00,65,0
16:00 - 17:00,192,0
17:00 - 18:00,293,0
18:00 - 19:00,326,0
19:00 - 20:00,194,0
20:00 - 21:00,223,0
21:00 - 22:00,181,0
22:00 - 23:00,66,0
23:00 - 00:00,0,238
