Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,178
01:00 - 02:00,0,141
02:00 - 03:00,0,169
03:00 - 04:00,0,161
04:00 - 05:00,0,161
05:00 - 06:00,0,163
06:00 - 07:00,0,228
07:00 - 08:00,0,128
08:00 - 09:00,0,121
09:00 - 10:00,0,106
10:00 - 11:00,0,154
11:00 - 12:00,0,204
12:00 - 13:00,0,249
13:00 - 14:00,0,203
14:00 - 15:00,0,190
15:00 - 16:00,0,160
16:00 - 17:00,0,204
17:00 - 18:00,0,126
18:00 - 19:00,0,119
19:00 - 20:00,0,121
20:00 - 21:00,0,168
21:00 - 22:00,0,166
22:00 - 23:00,0,141
23:00 - 00:00,0,141
