Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,110,0
00:15 - 00:30,115,0
00:30 - 00:45,97,0
00:45 - 01:00,100,0
01:00 - 01:15,93,0
01:15 - 01:30,110,0
01:30 - 01:45,135,0
01:45 - 02:00,18,0
02:00 - 02:15,157,0
02:15 - 02:30,147,0
02:30 - 02:45,134,0
02:45 - 03:00,120,0
03:00 - 03:15,108,0
03:15 - 03:30,102,0
03:30 - 03:45,155,0
03:45 - 04:00,105,0
04:00 - 04:15,107,0
04:15 - 04:30,119,0
04:30 - 04:45,146,0
04:45 - 05:00,89,0
05:00 - 05:15,94,0
05:15 - 05:30,125,0
05:30 - 05:45,68,0
05:45 - 06:00,68,0
06:00 - 06:15,110,0
06:15 - 06:30,86,0
06:30 - 06:45,112,0
06:45 - 07:00,105,0
07:00 - 07:15,93,0
07:15 - 07:30,69,0
07:30 - 07:45,116,0
07:45 - 08:00,106,0
08:00 - 08:15,114,0
08:15 - 08:30,115,0
08:30 - 08:45,141,0
08:45 - 09:00,112,0
09:00 - 09:15,126,0
09:15 - 09:30,173,0
09:30 - 09:45,156,0
09:45 - 10:00,105,0
10:00 - 10:15,133,0
10:15 - 10:30,116,0
10:30 - 10:45,147,0
10:45 - 11:00,95,0
11:00 - 11:15,178,0
11:15 - 11:30,172,0
11:30 - 11:45,170,0
11:45 - 12:00,94,0
12:00 - 12:15,139,0
12:15 - 12:30,179,0
12:30 - 12:45,192,0
12:45 - 13:00,191,0
13:00 - 13:15,187,0
13:15 - 13:30,230,0
13:30 - 13:45,168,0
13:45 - 14:00,133,0
14:00 - 14:15,143,0
14:15 - 14:30,187,0
14:30 - 14:45,157,0
14:45 - 15:00,151,0
15:00 - 15:15,254,0
15:15 - 15:30,218,0
15:30 - 15:45,218,0
15:45 - 16:00,220,0
16:00 - 16:15,272,0
16:15 - 16:30,263,0
16:30 - 16:45,251,0
16:45 - 17:00,258,0
17:00 - 17:15,238,0
17:15 - 17:30,209,0
17:30 - 17:45,228,0
17:45 - 18:00,158,0
18:00 - 18:15,203,0
18:15 - 18:30,176,0
18:30 - 18:45,218,0
18:45 - 19:00,164,0
19:00 - 19:15,76,0
19:15 - 19:30,85,0
19:30 - 19:45,93,0
19:45 - 20:00,110,0
20:00 - 20:15,14,0
20:15 - 20:30,46,0
20:30 - 20:45,56,0
20:45 - 21:00,51,0
21:00 - 21:15,93,0
21:15 - 21:30,53,0
21:30 - 21:45,47,0
21:45 - 22:00,31,0
22:00 - 22:15,41,0
22:15 - 22:30,14,0
22:30 - 22:45,18,0
22:45 - 23:00,50,0
23:00 - 23:15,125,0
23:15 - 23:30,47,0
23:30 - 23:45,46,0
23:45 - 00:00,0,20
