Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,0
01:00 - 02:00,0,9
02:00 - 03:00,3,0
03:00 - 04:00,28,0
04:00 - 05:00,28,0
05:00 - 06:00,26,0
06:00 - 07:00,98,0
07:00 - 08:00,123,0
08:00 - 09:00,149,0
09:00 - 10:00,235,0
10:00 - 11:00,318,0
11:00 - 12:00,311,0
12:00 - 13:00,357,0
13:00 - 14:00,387,0
14:00 - 15:00,389,0
15:00 - 16:00,353,0
16:00 - 17:00,228,0
17:00 - 18:00,226,0
18:00 - 19:00,161,0
19:00 - 20:00,37,0
20:00 - 21:00,15,0
21:00 - 22:00,7,0
22:00 - 23:00,0,88
23:00 - 00:00,0,86
