Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,84,0
01:00 - 02:00,46,0
02:00 - 03:00,39,0
03:00 - 04:00,11,0
04:00 - 05:00,11,0
05:00 - 06:00,15,0
06:00 - 07:00,139,0
07:00 - 08:00,310,0
08:00 - 09:00,317,0
09:00 - 10:00,214,0
10:00 - 11:00,185,0
11:00 - 12:00,387,0
12:00 - 13:00,520,0
13:00 - 14:00,606,0
14:00 - 15:00,591,0
15:00 - 16:00,647,0
16:00 - 17:00,712,0
17:00 - 18:00,565,0
18:00 - 19:00,460,0
19:00 - 20:00,452,0
20:00 - 21:00,467,0
21:00 - 22:00,410,0
22:00 - 23:00,308,0
23:00 - 00:00,95,0
