Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,415,0
01:00 - 02:00,496,0
02:00 - 03:00,504,0
03:00 - 04:00,470,0
04:00 - 05:00,450,0
05:00 - 06:00,445,0
06:00 - 07:00,506,0
07:00 - 08:00,351,0
08:00 - 09:00,352,0
09:00 - 10:00,352,0
10:00 - 11:00,434,0
11:00 - 12:00,394,0
12:00 - 13:00,376,0
13:00 - 14:00,441,0
14:00 - 15:00,515,0
15:00 - 16:00,619,0
16:00 - 17:00,701,0
17:00 - 18:00,808,0
18:00 - 19:00,761,0
19:00 - 20:00,704,0
20:00 - 21:00,597,0
21:00 - 22:00,380,0
22:00 - 23:00,362,0
23:00 - 00:00,288,0
