Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,39
01:00 - 02:00,0,64
02:00 - 03:00,0,45
03:00 - 04:00,0,42
04:00 - 05:00,0,77
05:00 - 06:00,0,124
06:00 - 07:00,0,167
07:00 - 08:00,0,2
08:00 - 09:00,87,0
09:00 - 10:00,151,0
10:00 - 11:00,244,0
11:00 - 12:00,169,0
12:00 - 13:00,173,0
13:00 - 14:00,121,0
14:00 - 15:00,36,0
15:00 - 16:00,0,86
16:00 - 17:00,0,139
17:00 - 18:00,0,74
18:00 - 19:00,0,186
19:00 - 20:00,0,254
20:00 - 21:00,0,251
21:00 - 22:00,0,191
22:00 - 23:00,0,59
23:00 - 00:00,0,107
