Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,3,0
01:00 - 02:00,82,0
02:00 - 03:00,140,0
03:00 - 04:00,227,0
04:00 - 05:00,221,0
05:00 - 06:00,245,0
06:00 - 07:00,292,0
07:00 - 08:00,243,0
08:00 - 09:00,172,0
09:00 - 10:00,63,0
10:00 - 11:00,0,32
11:00 - 12:00,4,0
12:00 - 13:00,0,4
13:00 - 14:00,51,0
14:00 - 15:00,99,0
15:00 - 16:00,128,0
16:00 - 17:00,236,0
17:00 - 18:00,626,0
18:00 - 19:00,652,0
19:00 - 20:00,390,0
20:00 - 21:00,230,0
21:00 - 22:00,189,0
22:00 - 23:00,222,0
23:00 - 00:00,199,0
