Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,160
01:00 - 02:00,0,86
02:00 - 03:00,0,132
03:00 - 04:00,0,128
04:00 - 05:00,0,101
05:00 - 06:00,0,34
06:00 - 07:00,11,0
07:00 - 08:00,0,29
08:00 - 09:00,6,0
09:00 - 10:00,0,0
10:00 - 11:00,0,0
11:00 - 12:00,0,0
12:00 - 13:00,0,0
13:00 - 14:00,0,0
14:00 - 15:00,0,0
15:00 - 16:00,0,0
16:00 - 17:00,0,0
17:00 - 18:00,0,0
18:00 - 19:00,0,160
19:00 - 20:00,0,109
20:00 - 21:00,125,0
21:00 - 22:00,50,0
22:00 - 23:00,3,0
23:00 - 00:00,0,178
