Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,161,0
01:00 - 02:00,79,0
02:00 - 03:00,89,0
03:00 - 04:00,63,0
04:00 - 05:00,151,0
05:00 - 06:00,190,0
06:00 - 07:00,154,0
07:00 - 08:00,192,0
08:00 - 09:00,127,0
09:00 - 10:00,0,41
10:00 - 11:00,0,55
11:00 - 12:00,102,0
12:00 - 13:00,76,0
13:00 - 14:00,99,0
14:00 - 15:00,161,0
15:00 - 16:00,251,0
16:00 - 17:00,360,0
17:00 - 18:00,507,0
18:00 - 19:00,643,0
19:00 - 20:00,565,0
20:00 - 21:00,506,0
21:00 - 22:00,551,0
22:00 - 23:00,482,0
23:00 - 00:00,429,0
