Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,25
01:00 - 02:00,0,3
02:00 - 03:00,0,45
03:00 - 04:00,0,88
04:00 - 05:00,0,105
05:00 - 06:00,0,98
06:00 - 07:00,0,89
07:00 - 08:00,0,141
08:00 - 09:00,0,111
09:00 - 10:00,0,89
10:00 - 11:00,0,10
11:00 - 12:00,10,0
12:00 - 13:00,50,0
13:00 - 14:00,153,0
14:00 - 15:00,166,0
15:00 - 16:00,195,0
16:00 - 17:00,212,0
17:00 - 18:00,350,0
18:00 - 19:00,280,0
19:00 - 20:00,227,0
20:00 - 21:00,166,0
21:00 - 22:00,17,0
22:00 - 23:00,97,0
23:00 - 00:00,140,0
