Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,120
01:00 - 02:00,0,191
02:00 - 03:00,0,190
03:00 - 04:00,0,187
04:00 - 05:00,0,233
05:00 - 06:00,0,262
06:00 - 07:00,0,253
07:00 - 08:00,0,196
08:00 - 09:00,0,199
09:00 - 10:00,0,92
10:00 - 11:00,0,161
11:00 - 12:00,0,253
12:00 - 13:00,0,181
13:00 - 14:00,0,264
14:00 - 15:00,0,349
15:00 - 16:00,0,406
16:00 - 17:00,0,372
17:00 - 18:00,0,275
18:00 - 19:00,0,266
19:00 - 20:00,0,200
20:00 - 21:00,0,169
21:00 - 22:00,0,198
22:00 - 23:00,0,40
23:00 - 00:00,0,82
