Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,139
01:00 - 02:00,0,211
02:00 - 03:00,0,194
03:00 - 04:00,0,144
04:00 - 05:00,0,40
05:00 - 06:00,59,0
06:00 - 07:00,107,0
07:00 - 08:00,15,0
08:00 - 09:00,0,56
09:00 - 10:00,0,49
10:00 - 11:00,0,223
11:00 - 12:00,0,20
12:00 - 13:00,71,0
13:00 - 14:00,59,0
14:00 - 15:00,60,0
15:00 - 16:00,73,0
16:00 - 17:00,24,0
17:00 - 18:00,36,0
18:00 - 19:00,29,0
19:00 - 20:00,39,0
20:00 - 21:00,0,8
21:00 - 22:00,0,77
22:00 - 23:00,0,58
23:00 - 00:00,0,170
