Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,56
01:00 - 02:00,0,35
02:00 - 03:00,0,42
03:00 - 04:00,0,47
04:00 - 05:00,0,84
05:00 - 06:00,0,113
06:00 - 07:00,0,134
07:00 - 08:00,14,0
08:00 - 09:00,216,0
09:00 - 10:00,303,0
10:00 - 11:00,281,0
11:00 - 12:00,172,0
12:00 - 13:00,169,0
13:00 - 14:00,275,0
14:00 - 15:00,161,0
15:00 - 16:00,122,0
16:00 - 17:00,79,0
17:00 - 18:00,0,85
18:00 - 19:00,0,118
19:00 - 20:00,0,127
20:00 - 21:00,0,183
21:00 - 22:00,0,192
22:00 - 23:00,0,192
23:00 - 00:00,0,222
