Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,14,0
01:00 - 02:00,0,22
02:00 - 03:00,0,23
03:00 - 04:00,0,26
04:00 - 05:00,32,0
05:00 - 06:00,102,0
06:00 - 07:00,107,0
07:00 - 08:00,0,8
08:00 - 09:00,0,148
09:00 - 10:00,0,306
10:00 - 11:00,0,469
11:00 - 12:00,0,466
12:00 - 13:00,0,458
13:00 - 14:00,0,542
14:00 - 15:00,0,510
15:00 - 16:00,0,449
16:00 - 17:00,0,269
17:00 - 18:00,12,0
18:00 - 19:00,181,0
19:00 - 20:00,234,0
20:00 - 21:00,324,0
21:00 - 22:00,330,0
22:00 - 23:00,284,0
23:00 - 00:00,248,0
