Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,280
01:00 - 02:00,0,308
02:00 - 03:00,0,299
03:00 - 04:00,0,292
04:00 - 05:00,0,303
05:00 - 06:00,0,308
06:00 - 07:00,0,321
07:00 - 08:00,0,308
08:00 - 09:00,0,268
09:00 - 10:00,0,266
10:00 - 11:00,0,240
11:00 - 12:00,0,229
12:00 - 13:00,0,270
13:00 - 14:00,0,276
14:00 - 15:00,0,264
15:00 - 16:00,0,273
16:00 - 17:00,0,348
17:00 - 18:00,0,412
18:00 - 19:00,0,339
19:00 - 20:00,0,130
20:00 - 21:00,0,72
21:00 - 22:00,0,139
22:00 - 23:00,0,98
23:00 - 00:00,0,87
