Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,584,0
01:00 - 02:00,603,0
02:00 - 03:00,637,0
03:00 - 04:00,630,0
04:00 - 05:00,633,0
05:00 - 06:00,613,0
06:00 - 07:00,696,0
07:00 - 08:00,696,0
08:00 - 09:00,649,0
09:00 - 10:00,662,0
10:00 - 11:00,736,0
11:00 - 12:00,735,0
12:00 - 13:00,799,0
13:00 - 14:00,779,0
14:00 - 15:00,856,0
15:00 - 16:00,869,0
16:00 - 17:00,908,0
17:00 - 18:00,950,0
18:00 - 19:00,1024,0
19:00 - 20:00,999,0
20:00 - 21:00,901,0
21:00 - 22:00,887,0
22:00 - 23:00,815,0
23:00 - 00:00,719,0
